Epoch: 2, Test loss: 0.38593030214988977, Accuracy: 8580/10000 (85.80%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 3, Test loss: 0.3785080606848118, Accuracy: 8707/10000 (87.07%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 4, Test loss: 0.40163899521512214, Accuracy: 8651/10000 (86.51%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 5, Test loss: 0.33991438760670656, Accuracy: 8789/10000 (87.89%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 6, Test loss: 0.34002336065526917, Accuracy: 8744/10000 (87.44%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 7, Test loss: 0.32295648283242917, Accuracy: 8873/10000 (88.73%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 8, Test loss: 0.3321894040162528, Accuracy: 8759/10000 (87.59%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 9, Test loss: 0.3360915214734876, Accuracy: 8866/10000 (88.66%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 10, Test loss: 0.3392976353204271, Accuracy: 8766/10000 (87.66%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 11, Test loss: 0.33489868398455497, Accuracy: 8826/10000 (88.26%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 12, Test loss: 0.31320396555380287, Accuracy: 8830/10000 (88.30%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 13, Test loss: 0.33659804686055933, Accuracy: 8828/10000 (88.28%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 14, Test loss: 0.33414893377533117, Accuracy: 8787/10000 (87.87%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 15, Test loss: 0.32748925964445635, Accuracy: 8807/10000 (88.07%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)

Epoch: 0, Test loss: 2.3034459806442262, Accuracy: 324/10000 (3.24%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 1, Test loss: 0.4312007188362535, Accuracy: 8538/10000 (85.38%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 2, Test loss: 0.3820269505577555, Accuracy: 8673/10000 (86.73%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 3, Test loss: 0.37673026174426777, Accuracy: 8678/10000 (86.78%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 4, Test loss: 0.37456261575922833, Accuracy: 8642/10000 (86.42%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 5, Test loss: 0.3605062841049281, Accuracy: 8741/10000 (87.41%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 6, Test loss: 0.36872658886137477, Accuracy: 8767/10000 (87.67%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 7, Test loss: 0.3378117862377181, Accuracy: 8812/10000 (88.12%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 8, Test loss: 0.3496523720867459, Accuracy: 8696/10000 (86.96%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 9, Test loss: 0.38259764847149635, Accuracy: 8688/10000 (86.88%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 10, Test loss: 0.35024231339301215, Accuracy: 8813/10000 (88.13%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 11, Test loss: 0.3211502859589716, Accuracy: 8804/10000 (88.04%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 12, Test loss: 0.32262057445615927, Accuracy: 8855/10000 (88.55%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 13, Test loss: 0.3280967961194237, Accuracy: 8809/10000 (88.09%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 14, Test loss: 0.34306560781597634, Accuracy: 8757/10000 (87.57%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 15, Test loss: 0.3124748449665898, Accuracy: 8860/10000 (88.60%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 16, Test loss: 0.3354788714534605, Accuracy: 8747/10000 (87.47%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 17, Test loss: 0.32043479584911694, Accuracy: 8882/10000 (88.82%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 18, Test loss: 0.34467810556274087, Accuracy: 8756/10000 (87.56%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 19, Test loss: 0.32532090954284276, Accuracy: 8782/10000 (87.82%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 20, Test loss: 0.35062379924420634, Accuracy: 8703/10000 (87.03%), Batch Size: 4, Total Epochs: 20, Dropout Rate: Dropout(p=0.5, inplace=False)

Epoch: 0, Test loss: 2.302675262260437, Accuracy: 935/10000 (9.35%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 1, Test loss: 0.42876136021194977, Accuracy: 8640/10000 (86.40%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 2, Test loss: 0.3832948593865731, Accuracy: 8623/10000 (86.23%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 3, Test loss: 0.38766026563441847, Accuracy: 8681/10000 (86.81%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 4, Test loss: 0.3681404481171208, Accuracy: 8666/10000 (86.66%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 5, Test loss: 0.3496798073377169, Accuracy: 8738/10000 (87.38%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
